"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 10 18:32:08 GMT 2023","Sun Sep 10 18:32:31 GMT 2023","22449","Suite","Test","Pkg.Test.AddProductIntoCart","Pkg.Test.AddProductIntoCart","addToCartLogo","Verify that the user is able to add the product to the cart by using the 'Add to Cart' button.",""
"passed","Sun Sep 10 18:32:37 GMT 2023","Sun Sep 10 18:32:46 GMT 2023","9595","Suite","Test","Pkg.Test.AddProductIntoCart","Pkg.Test.AddProductIntoCart","addToCartProductQuatityIncress","Verify that when the user clicks on the 'Add to cart' button, the product quantity will increase as a result of clicking the cart button.",""
"passed","Sun Sep 10 18:35:20 GMT 2023","Sun Sep 10 18:35:58 GMT 2023","37441","Suite","Test","Pkg.Test.AddProductIntoCart","Pkg.Test.AddProductIntoCart","productCartTC001","Verify whether the user can add the product to the cart and proceed to checkout using PayPal.",""
"broken","Sun Sep 10 18:27:25 GMT 2023","Sun Sep 10 18:28:35 GMT 2023","69778","Suite","Test","Pkg.Test.RegisterUser","Pkg.Test.RegisterUser","loginTestAfterActiveAccount","Verify that user able to navigate to login page after the active account",""
"passed","Sun Sep 10 18:32:59 GMT 2023","Sun Sep 10 18:33:52 GMT 2023","53625","Suite","Test","Pkg.Test.AddProductIntoCart","Pkg.Test.AddProductIntoCart","deleteProductFromTheCart","Verify that the user should be able to delete the product from the cart.",""
"failed","Sun Sep 10 18:39:20 GMT 2023","Sun Sep 10 18:39:22 GMT 2023","1792","Suite","Test","Pkg.Test.LoginTest","Pkg.Test.LoginTest","loginTestCaseTC001","Verify that the user should be able to log into the system",""
"passed","Sun Sep 10 18:39:00 GMT 2023","Sun Sep 10 18:39:13 GMT 2023","12887","Suite","Test","Pkg.Test.LoginTest","Pkg.Test.LoginTest","homePageTestCaseTC002","Verify that when a user logs into the system for the first time, the user should be navigated to the dashboard page",""
"passed","Sun Sep 10 18:28:44 GMT 2023","Sun Sep 10 18:30:41 GMT 2023","117366","Suite","Test","Pkg.Test.RegisterUser","Pkg.Test.RegisterUser","myAccountProfile","Verify that the user is able to see 'MY ACCOUNT' after clicking on the player profile",""
"passed","Sun Sep 10 18:37:25 GMT 2023","Sun Sep 10 18:37:54 GMT 2023","29158","Suite","Test","Pkg.Test.AddProductIntoCart","Pkg.Test.AddProductIntoCart","updateQuatity","Verify that the user should be able to change/update the product quantity from the 'YOUR CART'.",""
"passed","Sun Sep 10 18:33:58 GMT 2023","Sun Sep 10 18:34:36 GMT 2023","38016","Suite","Test","Pkg.Test.AddProductIntoCart","Pkg.Test.AddProductIntoCart","multipleVeriantsOfTheProduct","Verify that the user should be able to select multiple variants of the product and add them to the cart.",""
"broken","Sun Sep 10 18:26:35 GMT 2023","Sun Sep 10 18:26:59 GMT 2023","24123","Suite","Test","Pkg.Test.RegisterUser","Pkg.Test.RegisterUser","hundredPoints","Verify that the user is able to see the '100' points credited message after activating their account",""
"passed","Sun Sep 10 18:31:02 GMT 2023","Sun Sep 10 18:32:02 GMT 2023","59743","Suite","Test","Pkg.Test.RegisterUser","Pkg.Test.RegisterUser","sixHundredPoints","Verify that the user is able to see the '600' points credited after clicking on the profile.",""
"broken","Sun Sep 10 18:24:26 GMT 2023","Sun Sep 10 18:26:22 GMT 2023","116429","Suite","Test","Pkg.Test.RegisterUser","Pkg.Test.RegisterUser","fiveHundredPoints","Verify that the user should be able to see the 500 points credited after updating their profile.",""
"passed","Sun Sep 10 18:38:10 GMT 2023","Sun Sep 10 18:38:53 GMT 2023","43111","Suite","Test","Pkg.Test.AddProductIntoCart","Pkg.Test.AddProductIntoCart","yourCartProductTC002","Verify that the user is able to see the product on the 'YOUR CART' page after adding it to the cart",""
"passed","Sun Sep 10 18:34:42 GMT 2023","Sun Sep 10 18:35:14 GMT 2023","32163","Suite","Test","Pkg.Test.AddProductIntoCart","Pkg.Test.AddProductIntoCart","paymentDetailsTC003","Verify that the user is able to fill in the mandatory information for the payment process",""
"passed","Sun Sep 10 18:36:18 GMT 2023","Sun Sep 10 18:37:17 GMT 2023","58839","Suite","Test","Pkg.Test.AddProductIntoCart","Pkg.Test.AddProductIntoCart","productWithPackSize","Verify that the user should be able to add the product with the 'Select a Pack Size' option, and if the product is 'out of stock,' then the user should be able to select another pack size",""
